Block Height,Mining Pool,Timestamp,Found In (min),Block Reward (BTC),Fees (BTC),Total Input (BTC),Size (MB),Tx Count
890631,"SpiderPool",2025-04-02T23:54:56.000Z,33,3.177,0.052,8710,1.53,3633
890630,"Foundry USA",2025-04-02T23:21:27.000Z,13,3.160,0.035,6332,1.40,1968
890629,"ViaBTC",2025-04-02T23:08:49.000Z,4,3.137,0.012,1011,1.14,874
890628,"SpiderPool",2025-04-02T23:04:35.000Z,2,3.129,0.004,1940,0.46,338
890627,"MARA Pool",2025-04-02T23:03:05.000Z,6,3.138,0.013,1272,0.84,1490
890626,"ViaBTC",2025-04-02T22:57:21.000Z,15,3.160,0.035,8220,1.80,2662
890625,"Antpool",2025-04-02T22:42:31.000Z,15,3.159,0.034,5093,1.52,2641
890624,"Foundry USA",2025-04-02T22:27:20.000Z,5,3.135,0.010,2571,0.50,1127
890623,"Foundry USA",2025-04-02T22:22:26.000Z,9,3.144,0.019,25241,1.11,1731
890622,"F2Pool",2025-04-02T22:13:21.000Z,2,3.130,0.005,1372,0.26,619
890621,"BTC.com",2025-04-02T22:11:32.000Z,10,3.150,0.025,6125,1.58,1954
890620,"MARA Pool",2025-04-02T22:01:05.000Z,3,3.133,0.008,1857,0.79,583
890619,"Foundry USA",2025-04-02T21:58:14.000Z,8,3.141,0.016,1936,1.38,2574
890618,"Foundry USA",2025-04-02T21:50:23.000Z,6,3.144,0.019,1834,2.10,4330
890617,"Antpool",2025-04-02T21:44:53.000Z,3,3.141,0.016,2686,2.03,5935
890616,"Foundry USA",2025-04-02T21:41:38.000Z,6,3.146,0.021,13145,2.03,3041
890615,"Antpool",2025-04-02T21:35:52.000Z,4,3.143,0.018,1838,1.91,1943
890614,"Antpool",2025-04-02T21:31:56.000Z,15,3.166,0.041,7742,1.72,4002
890613,"ViaBTC",2025-04-02T21:17:14.000Z,1,3.147,0.022,2027,1.65,2708
890612,"SpiderPool",2025-04-02T21:16:34.000Z,2,3.159,0.034,4178,1.70,4303
890611,"Foundry USA",2025-04-02T21:14:33.000Z,7,3.175,0.050,2743,1.72,3871
890610,"Binance Pool",2025-04-02T21:08:02.000Z,8,3.187,0.062,2259,1.78,4605
890609,"ViaBTC",2025-04-02T21:00:09.000Z,7,3.186,0.061,3473,1.80,4957
890608,"F2Pool",2025-04-02T20:53:00.000Z,12,3.185,0.060,1802,1.79,4466
890607,"Foundry USA",2025-04-02T20:40:47.000Z,5,3.163,0.038,2018,1.86,5010
890606,"MARA Pool",2025-04-02T20:35:51.000Z,17,3.179,0.054,8789,1.56,3203
890605,"ViaBTC",2025-04-02T20:18:24.000Z,10,3.153,0.028,3670,1.59,2960
890604,"Foundry USA",2025-04-02T20:08:07.000Z,3,3.133,0.008,1876,0.64,960
890603,"Foundry USA",2025-04-02T20:05:29.000Z,6,3.146,0.021,2872,1.86,2220
890602,"WhitePool",2025-04-02T19:59:13.000Z,6,3.146,0.021,6208,1.95,2365
890601,"Foundry USA",2025-04-02T19:53:17.000Z,5,3.157,0.032,4452,1.69,3987
890600,"SECPOOL",2025-04-02T19:47:53.000Z,35,3.185,0.060,8992,1.59,3553
890599,"ViaBTC",2025-04-02T19:12:50.000Z,0,3.138,0.013,1722,1.83,1502
890598,"Foundry USA",2025-04-02T19:12:25.000Z,21,3.174,0.049,9425,1.61,3745
890597,"SBI Crypto",2025-04-02T18:51:10.000Z,13,3.158,0.033,6217,2.06,2446
890596,"SECPOOL",2025-04-02T18:37:48.000Z,5,3.138,0.013,2539,0.76,1350
890595,"SECPOOL",2025-04-02T18:33:11.000Z,8,3.165,0.040,1914,1.37,3067
890594,"Antpool",2025-04-02T18:25:04.000Z,11,3.161,0.036,7749,1.63,3260
890593,"Foundry USA",2025-04-02T18:13:35.000Z,8,3.149,0.024,7134,1.52,3184
890592,"MARA Pool",2025-04-02T18:05:37.000Z,2,3.136,0.011,2430,1.24,1856
890591,"ViaBTC",2025-04-02T18:03:19.000Z,5,3.153,0.028,2766,1.77,2242
890590,"Unknown",2025-04-02T17:58:29.000Z,3,3.151,0.026,4354,1.64,3194
890589,"Foundry USA",2025-04-02T17:55:15.000Z,2,3.158,0.033,5046,1.72,3973
890588,"ViaBTC",2025-04-02T17:53:41.000Z,42,3.215,0.090,10365,1.52,3438
890587,"Antpool",2025-04-02T17:12:07.000Z,15,3.162,0.037,4838,1.69,3232
890586,"Antpool",2025-04-02T16:57:01.000Z,3,3.139,0.014,1278,1.33,3263
890585,"Braiins Pool",2025-04-02T16:54:24.000Z,14,3.163,0.038,5495,1.57,3127
890584,"Foundry USA",2025-04-02T16:40:33.000Z,8,3.149,0.024,4680,1.48,2931
890583,"Luxor",2025-04-02T16:32:35.000Z,3,3.140,0.015,1020,1.09,2223
890582,"F2Pool",2025-04-02T16:29:06.000Z,3,3.141,0.016,1051,1.51,2066
890581,"Foundry USA",2025-04-02T16:26:26.000Z,10,3.155,0.030,4821,1.60,3391
890580,"Poolin",2025-04-02T16:16:05.000Z,9,3.155,0.030,7399,1.84,3774
